Price,Address,Parish,Square Footage,Bedrooms,Bathrooms,24_Hour_Security,Additional_Accom.,Appliances_Only,Built_In_Vacuum,Cable,Ceiling_Fans,Flooring_Ceramic_Tile,Flooring_Ceramic_TileLaminate,Flooring_Ceramic_TileMarble,Flooring_Ceramic_TileOther,Flooring_Ceramic_TilePorcelain,Flooring_Ceramic_TileTerrazzo,Flooring_Ceramic_TileWood,Flooring_Laminate,Flooring_Marble,Flooring_Mixed,Flooring_MixedPorcelain,Flooring_OtherPorcelain,Flooring_Porcelain,Flooring_Terrazzo,Flooring_Wall_To_Wall_CarpetCeramic_Tile,Flooring_Wood,Fully_Fenced,Fully_Walled,Furnished,Garden_Area,Grilled,Guest_House,Hot_Tub,Hurricane_Shutters,Jacuzzi/Whirlpool,Jetted_Bathtub,Kitchen_Built-In(S),Main_Level_Entry,Night_Security,Partial_Furnished,Roll_Down_Shutters,Security_System,Sprinkler_System,Stand-By_Generator,Swimming_Pool,Unfurnished,Water_Heater,Water_Purifier,Water_Tank,Wheelchair_Access,Additional_Parking,Carport_-_Single,Garage_-_3_Or_More,Garage_-_Double,Garage_-_Single,Garage_@~Amp;_Carport,Multiple_C/P,Open,Other,Street,Underground_Garage,Visitor_Parking,Central_Location,Easy_Access,Family_Oriented,Gated_Community,Landscaped,Low_Maint_Yard,Private_Setting,Quiet_Area,Recreation_Nearby,Road_-_Paved,View_-_City,View_-_Mountain,View_-_Ocean,Waterfront_-_Ocean
222600.0,MUSGRAVE AVENUE,Kingston & St. Andrew,605.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238500.0,MUSGRAVE AVENUE,Kingston & St. Andrew,605.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238500.0,MUSGRAVE AVENUE,Kingston & St. Andrew,605.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397500.0,"MUSGRAVE AVENUE, KINGSTON",Kingston & St. Andrew,965.0,2.0,2.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210000.0,"MUSGRAVE AVENUE, KINGSTON",Kingston & St. Andrew,985.0,1.0,2.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000.0,SURBITON ROAD,Kingston & St. Andrew,22000.0,3.0,2.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262350.0,BRAEMAR AVENUE,Kingston & St. Andrew,1000.0,2.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130000.0,BRAEMAR AVENUE,Kingston & St. Andrew,600.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
222600.0,SURBITON ROAD,Kingston & St. Andrew,32130.0,2.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286200.0,BRAEMAR AVENUE,Kingston & St. Andrew,43560.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
